SentimentDevice,SalesDevice
MSI GAMING LAPTOP 16,UNDEFINED
MSI KATANA 15,MSI KATANA
SAMSUNG GALAXY ULTRA 16,GALAXY BOOK ULTRA
LENOVO LEGION PRO 5I 16,LEGION
SAMSUNG GALAXY BOOK2 PRO 360 13,GALAXY BOOK
MSI STEALTH 14,STEALTH
ASUS ROG ZEPHYRUS G16 16,ROG ZEPHYRUS
LENOVO THINKPAD T16 16,THINKPAD T
RAZER GAMING LAPTOP 18,RAZER
RAZER BLADE 18,RAZER BLADE
LENOVO GAMING DESKTOP,DESKTOP
HP PAVILION 14,PAVILION | DESKTOP
LENOVO IDEAPAD 3 14,IDEAPAD
SAMSUNG GALAXY BOOK3 PRO 15,GALAXY BOOK
MSI GAMINGTHIN 15,UNDEFINED
ASUS ZENBOOK PRO 14X 14,ASUS ZENBOOK PRO 14
LENOVO LEGION PRO 7 16,LEGION
LENOVO SLIM 7 PRO X 14,LENOVO SLIM 7 PROX
HP OMEN TRANSCEND 14,OMEN
HP G9 15,256 G9
ASUS TUF A16 16,TUF
SAMSUNG GALAXY BOOK4 PRO 16,UNDEFINED
HP OMEN TRANSCEND 16,OMEN
MSI VECTOR 16,UNDEFINED
MICROSOFT SURFACE LAPTOP GO 2 12,SURFACE LAPTOP GO
MSI GAMING CYBORG 15,UNDEFINED
ASUS ROG ZEPHYRUS G16  16,ROG ZEHPYRUS
MICROSOFT SURFACE STUDIO 2 14,SURFACE STUDIO
LENOVO THINKPAD E16 16,LENOVO THINKPAD E16
MICROSOFT SURFACE LAPTOP 15,SURFACE LAPTOP
MICROSOFT SURFACE LAPTOP GO 3 12,SURFACE LAPTOP GO
ACER ASPIRE VERO 14,ASPIRE VERO
RAZER BLADE GAMING 15,UNDEFINED
MSI THIN GAMING GF63 15,UNDEFINED
ASUS ROG STRIX G 16,ROG STRIX
SAMSUNG GALAXY BOOK4 PRO 14,UNDEFINED
HP ENVY X360 16,ENVY X360
MSI PRESTIGE 16,UNDEFINED
MSI SUMMIT FLIP 14,UNDEFINED
ASUS VIVOBOOK PRO X 16,VIVOBOOK PRO
ASUS ROG FLOW 16,ROG FLOW
MSI TITAN 18,UNDEFINED
HP G10 15,UNDEFINED
LENOVO THINKBOOK G6 16,THINKBOOK
