SentimentDevice,SalesDevice
LENOVO IDEACENTRE AIO 5I 27,LENOVO W
LENOVO IDEACENTRE AIO A340 24,LENOVO W
LENOVO IDEACENTRE A340 23,LENOVO W
LENOVO IDEACENTRE AIO 3 27,LENOVO W
LENOVO IDEACENTRE A340 21,LENOVO W
LENOVO IDEACENTRE A540 DESKTOP,LENOVO W
LENOVO S14 G2 14,LENOVO W
LENOVO IDEACENTRE 510S DESKTOP,LENOVO W
LENOVO IDEACENTRE M3900 DESKTOP,LENOVO W
LENOVO IDEACENTRE M590 DESKTOP,LENOVO W
LENOVO IDEACENTRE S5400 AIO 24,LENOVO W
LENOVO A30 AIO 24,LENOVO W
LENOVO IDEACENTER AIO 23 ,LENOVO W
LENOVO LAPTOP 3 17,LENOVO W
LENOVO YI AIO 24,LENOVO W
LENOVO IDEACENTER 3 AIO 24,LENOVO W
LENOVO IDEACENTRE A340 AIO 23,LENOVO W
LENOVO S14 14,LENOVO W
LENOVO IDEACENTRE 510 PRO DESKTOP,LENOVO W
LENOVO IDEACENTRE AIO A550I 24,LENOVO W
LENOVO IDEACENTRE 510 PRO AIO 21,LENOVO W
LENOVO XENOMORPH CO-E3 DESKTOP,LENOVO W
LENOVO M4000Q DESKTOP,LENOVO W
LENOVO A30 AIO 23,LENOVO W
LENOVO T30 DESKTOP,LENOVO W
LENOVO IDEACENTRE 3I DESKTOP,LENOVO W
LENOVO ULTIMATE PRO 14,LENOVO W
LENOVO TIANJIAO 14,LENOVO W
LENOVO TIANYI 510 PRO DESKTOP,LENOVO W
LENOVO IDEACENTRE DESKTOP,LENOVO W
LENOVO M435 DESKTOP,LENOVO W
LENOVO THINKSTATION K DESKTOP,LENOVO W
LENOVO B437 DESKTOP,LENOVO W
LENOVO IDEACENTRE 510 DESKTOP,LENOVO W
LENOVO LAIKU DESKTOP,LENOVO W
LENOVO A3000 DESKTOP,LENOVO W
LENOVO M730Q DESKTOP,LENOVO W
LENOVO THINKSTATION P900 DESKTOP,LENOVO W
LENOVO THINKSTATION P300 DESKTOP,LENOVO W
LENOVO THINKSTATION P500 DESKTOP,LENOVO W
LENOVO IDEACENTRE 3 AIO 24,LENOVO W
LENOVO TOWER 5I DESKTOP,LENOVO W
LENOVO LAPTOP K4E 14,LENOVO W
LENOVO LAPTOP S15 15,LENOVO W
LENOVO TIANYI 510S DESKTOP,LENOVO W
LENOVO IDEACENTRE P600 DESKTOP,LENOVO W
LENOVO 510PRO DESKTOP,LENOVO W
LENOVO AIO 520 21,LENOVO W
LENOVO AIO 520 24,LENOVO W
LENOVO IDEACENTER P880 DESKTOP,LENOVO W
LENOVO VOSTRO 17,LENOVO W
LENOVO IDEACENTRE 510S,LENOVO W
LENOVO 4KE 14,LENOVO W
LENOVO LAPTOP14,LENOVO W
LENOVO E41-55 14,LENOVO W
LENOVO DYNASKY T510 DESKTOP,LENOVO W
LENOVO IDEACENTER M590 DESKTOP,LENOVO W
LENOVO AIO 520 27,LENOVO W
LENOVO IDEACENTRE 3 24,LENOVO W
LENOVO IDEACENTER S660 AIO 24,LENOVO W
LENOVO AIO 24,LENOVO W
LENOVO THINKSTATION DESKTOP,LENOVO W
LENOVO THINKSTATION P720 DESKTOP,LENOVO W
LENOVO E5 15,LENOVO V SERIES V110 15
LENOVO IDEACENTRE M4000Q DESKTOP,LENOVO W
